web-scraper-order,web-scraper-start-url,função / subfunção,Dotação Orçamentária,Valor Empenhado,%(B/A)%,Valor Liquidado,Valor Pago
"1676496995-420","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","LEGISLATIVA","231.010.510,00","225.918.803,55","97,80","221.083.290,62","221.074.248,03"
"1676496995-421","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ACAO LEGISLATIVA","231.010.510,00","225.918.803,55","97,80","221.083.290,62","221.074.248,03"
"1676496995-422","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","JUDICIARIA","59.250.042,00","57.723.451,39","97,42","57.528.738,64","57.200.747,33"
"1676496995-423","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","REPRESENTACAO JUDICIAL E EXTRAJUDICIAL","743.998,00","170.795,79","22,96","0,00","0,00"
"1676496995-424","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","58.396.757,00","57.460.095,80","98,40","57.436.178,84","57.108.187,53"
"1676496995-425","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TECNOLOGIA DA INFORMACAO","109.287,00","92.559,80","84,69","92.559,80","92.559,80"
"1676496995-426","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ESSENCIAL A JUSTICA","1.303.204,00","765.411,06","58,73","765.411,06","765.411,06"
"1676496995-427","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","FORMACAO DE RECURSOS HUMANOS","1.303.204,00","765.411,06","58,73","765.411,06","765.411,06"
"1676496995-428","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO","967.566.477,00","842.457.528,49","87,07","838.828.820,79","821.341.909,35"
"1676496995-429","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","PLANEJAMENTO E ORCAMENTO","2.898.173,00","738.776,97","25,49","738.776,97","738.776,97"
"1676496995-430","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","916.989.512,00","822.524.468,96","89,70","819.199.738,49","802.682.637,07"
"1676496995-431","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","CONTROLE INTERNO","2.533.000,00","2.503.617,20","98,84","2.503.617,20","2.503.617,20"
"1676496995-432","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","NORMALIZACAO E FISCALIZACAO","3.813.437,00","1.394.794,67","36,58","1.394.794,67","1.394.794,67"
