,ano,mes,descrição da despesa,Valor Anual Previsto na LOA,valor mensal empenhado,Valor Acumulado
0,2011,dez,LEGISLATIVA,"97.215.976,00","5.517.592,09","93.975.739,77"
1,2011,dez,ESSENCIAL A JUSTICA,"29.002.468,00","3.576.478,19","31.140.660,93"
2,2011,dez,ADMINISTRACAO,"439.185.529,00","43.383.210,84","407.136.487,19"
3,2011,dez,SEGURANCA PUBLICA,"87.499.358,00","6.732.063,62","91.294.840,91"
4,2011,dez,ASSISTENCIA SOCIAL,"93.351.448,00","5.726.340,89","77.359.664,11"
5,2011,dez,PREVIDENCIA SOCIAL,"327.439.000,00","34.381.239,07","263.381.184,76"
6,2011,dez,SAUDE,"1.263.472.498,00","128.709.195,81","1.223.307.754,83"
7,2011,dez,TRABALHO,"17.694.579,00","618.947,96","10.795.456,40"
8,2011,dez,EDUCACAO,"839.331.411,00","122.790.341,27","793.264.109,67"
9,2011,dez,CULTURA,"78.348.304,00","10.224.866,09","41.761.489,58"
10,2011,dez,DIREITOS DA CIDADANIA,"23.560.350,00","1.106.167,15","10.961.075,52"
11,2011,dez,URBANISMO,"700.738.742,00","50.650.514,09","538.815.050,75"
12,2011,dez,HABITACAO,"171.507.490,00","9.514.457,64","67.258.152,54"
13,2011,dez,SANEAMENTO,"5.060.000,00","0,00","151.801,54"
14,2011,dez,GESTAO AMBIENTAL,"82.648.654,00","8.488.920,04","68.525.515,37"
15,2011,dez,CIENCIA E TECNOLOGIA,"4.365.536,00","184.100,00","1.413.294,10"
16,2011,dez,COMERCIO E SERVICOS,"71.108.896,00","-291.464,35","15.774.402,41"
17,2011,dez,DESPORTO E LAZER,"35.034.159,00","979.764,61","37.575.761,80"
18,2011,dez,ENCARGOS ESPECIAIS,"116.446.602,00","10.458.002,45","114.287.358,17"
19,2011,dez,RESERVA DE CONTINGENCIA,"303.000,00","0,00","0,00"
20,2011,dez,TOTAIS,"4.483.314.000,00","442.750.737,46","3.888.179.800,35"
0,2011,nov,LEGISLATIVA,"97.215.976,00","9.789.068,17","88.458.147,68"
1,2011,nov,ESSENCIAL A JUSTICA,"29.002.468,00","2.410.349,59","27.564.182,74"
2,2011,nov,ADMINISTRACAO,"439.185.529,00","38.973.385,38","363.753.276,35"
3,2011,nov,SEGURANCA PUBLICA,"87.499.358,00","6.992.826,48","84.562.777,29"
4,2011,nov,ASSISTENCIA SOCIAL,"93.351.448,00","7.308.571,92","71.633.323,22"
5,2011,nov,PREVIDENCIA SOCIAL,"327.439.000,00","21.742.464,31","228.999.945,69"
6,2011,nov,SAUDE,"1.263.472.498,00","102.557.675,01","1.094.598.559,02"
7,2011,nov,TRABALHO,"17.694.579,00","2.158.243,79","10.176.508,44"
8,2011,nov,EDUCACAO,"839.331.411,00","72.003.786,35","670.473.768,40"
9,2011,nov,CULTURA,"78.348.304,00","4.523.034,24","31.536.623,49"
10,2011,nov,DIREITOS DA CIDADANIA,"23.560.350,00","1.149.197,92","9.854.908,37"
11,2011,nov,URBANISMO,"700.738.742,00","60.625.296,80","488.164.536,66"
12,2011,nov,HABITACAO,"171.507.490,00","7.630.252,18","57.743.694,90"
13,2011,nov,SANEAMENTO,"5.060.000,00","0,00","151.801,54"
14,2011,nov,GESTAO AMBIENTAL,"82.648.654,00","5.342.754,48","60.036.595,33"
15,2011,nov,CIENCIA E TECNOLOGIA,"4.365.536,00","184.100,00","1.229.194,10"
16,2011,nov,COMERCIO E SERVICOS,"71.108.896,00","184.803,71","16.065.866,76"
17,2011,nov,DESPORTO E LAZER,"35.034.159,00","4.433.201,91","36.595.997,19"
18,2011,nov,ENCARGOS ESPECIAIS,"116.446.602,00","7.148.815,40","103.829.355,72"
19,2011,nov,RESERVA DE CONTINGENCIA,"303.000,00","0,00","0,00"
20,2011,nov,TOTAIS,"4.483.314.000,00","355.157.827,64","3.445.429.062,89"
0,2011,out,LEGISLATIVA,"97.215.976,00","6.894.318,80","78.669.079,51"
1,2011,out,ESSENCIAL A JUSTICA,"29.002.468,00","2.241.112,61","25.153.833,15"
2,2011,out,ADMINISTRACAO,"439.185.529,00","28.991.359,46","324.779.890,97"
3,2011,out,SEGURANCA PUBLICA,"87.499.358,00","4.923.438,48","77.569.950,81"
4,2011,out,ASSISTENCIA SOCIAL,"93.351.448,00","6.425.926,15","64.324.751,30"
5,2011,out,PREVIDENCIA SOCIAL,"327.439.000,00","21.084.068,44","207.257.481,38"
6,2011,out,SAUDE,"1.263.472.498,00","104.676.073,74","992.040.884,01"
7,2011,out,TRABALHO,"17.694.579,00","549.967,66","8.018.264,65"
8,2011,out,EDUCACAO,"839.331.411,00","71.949.554,69","598.469.982,05"
9,2011,out,CULTURA,"78.348.304,00","2.022.549,08","27.013.589,25"
10,2011,out,DIREITOS DA CIDADANIA,"23.560.350,00","706.839,90","8.705.710,45"
11,2011,out,URBANISMO,"700.738.742,00","49.575.104,46","427.539.239,86"
12,2011,out,HABITACAO,"171.507.490,00","6.057.122,31","50.113.442,72"
13,2011,out,SANEAMENTO,"5.060.000,00","0,00","151.801,54"
14,2011,out,GESTAO AMBIENTAL,"82.648.654,00","5.270.908,07","54.693.840,85"
15,2011,out,CIENCIA E TECNOLOGIA,"4.365.536,00","184.100,00","1.045.094,10"
16,2011,out,COMERCIO E SERVICOS,"71.108.896,00","737.161,93","15.881.063,05"
17,2011,out,DESPORTO E LAZER,"35.034.159,00","1.714.642,86","32.162.795,28"
18,2011,out,ENCARGOS ESPECIAIS,"116.446.602,00","7.905.783,74","96.680.540,32"
19,2011,out,RESERVA DE CONTINGENCIA,"303.000,00","0,00","0,00"
20,2011,out,TOTAIS,"4.483.314.000,00","321.910.032,38","3.090.271.235,25"
0,2011,set,LEGISLATIVA,"97.215.976,00","5.833.583,79","71.774.760,71"
1,2011,set,ESSENCIAL A JUSTICA,"29.002.468,00","2.241.697,17","22.912.720,54"
2,2011,set,ADMINISTRACAO,"439.185.529,00","34.781.657,93","295.788.531,51"
3,2011,set,SEGURANCA PUBLICA,"87.499.358,00","8.191.241,06","72.646.512,33"
4,2011,set,ASSISTENCIA SOCIAL,"93.351.448,00","8.342.780,09","57.898.825,15"
5,2011,set,PREVIDENCIA SOCIAL,"327.439.000,00","20.876.093,00","186.173.412,94"
6,2011,set,SAUDE,"1.263.472.498,00","104.834.934,56","887.364.810,27"
7,2011,set,TRABALHO,"17.694.579,00","1.455.748,33","7.468.296,99"
8,2011,set,EDUCACAO,"839.331.411,00","70.825.806,34","526.520.427,36"
9,2011,set,CULTURA,"78.348.304,00","1.719.932,61","24.991.040,17"
10,2011,set,DIREITOS DA CIDADANIA,"23.560.350,00","1.171.916,50","7.998.870,55"
11,2011,set,URBANISMO,"700.738.742,00","47.867.121,06","377.964.135,40"
12,2011,set,HABITACAO,"171.507.490,00","8.887.890,97","44.056.320,41"
13,2011,set,SANEAMENTO,"5.060.000,00","0,00","151.801,54"
14,2011,set,GESTAO AMBIENTAL,"82.648.654,00","5.322.999,38","49.422.932,78"
15,2011,set,CIENCIA E TECNOLOGIA,"4.365.536,00","184.100,00","860.994,10"
16,2011,set,COMERCIO E SERVICOS,"71.108.896,00","2.872.547,05","15.143.901,12"
17,2011,set,DESPORTO E LAZER,"35.034.159,00","1.720.479,03","30.448.152,42"
18,2011,set,ENCARGOS ESPECIAIS,"116.446.602,00","8.497.795,38","88.774.756,58"
19,2011,set,RESERVA DE CONTINGENCIA,"303.000,00","0,00","0,00"
20,2011,set,TOTAIS,"4.483.314.000,00","335.628.324,25","2.768.361.202,87"
0,2011,ago,LEGISLATIVA,"97.215.976,00","6.200.927,42","65.941.176,92"
1,2011,ago,ESSENCIAL A JUSTICA,"29.002.468,00","2.346.997,91","20.671.023,37"
2,2011,ago,ADMINISTRACAO,"439.185.529,00","32.870.507,68","261.006.873,58"
3,2011,ago,SEGURANCA PUBLICA,"87.499.358,00","9.065.319,87","64.455.271,27"
4,2011,ago,ASSISTENCIA SOCIAL,"93.351.448,00","6.116.124,80","49.556.045,06"
5,2011,ago,PREVIDENCIA SOCIAL,"327.439.000,00","22.577.241,93","165.297.319,94"
6,2011,ago,SAUDE,"1.263.472.498,00","109.874.862,52","782.529.875,71"
7,2011,ago,TRABALHO,"17.694.579,00","2.039.521,06","6.012.548,66"
8,2011,ago,EDUCACAO,"839.331.411,00","57.627.437,88","455.694.621,02"
9,2011,ago,CULTURA,"78.348.304,00","1.930.579,58","23.271.107,56"
10,2011,ago,DIREITOS DA CIDADANIA,"23.560.350,00","1.358.551,02","6.826.954,05"
11,2011,ago,URBANISMO,"700.738.742,00","42.442.709,68","330.097.014,34"
12,2011,ago,HABITACAO,"171.507.490,00","6.339.273,98","35.168.429,44"
13,2011,ago,SANEAMENTO,"5.060.000,00","0,00","151.801,54"
14,2011,ago,GESTAO AMBIENTAL,"82.648.654,00","5.152.136,16","44.099.933,40"
15,2011,ago,CIENCIA E TECNOLOGIA,"4.365.536,00","54.100,00","676.894,10"
16,2011,ago,COMERCIO E SERVICOS,"71.108.896,00","167.513,00","12.271.354,07"
17,2011,ago,DESPORTO E LAZER,"35.034.159,00","4.644.235,30","28.727.673,39"
18,2011,ago,ENCARGOS ESPECIAIS,"116.446.602,00","7.076.550,44","80.276.961,20"
19,2011,ago,RESERVA DE CONTINGENCIA,"303.000,00","0,00","0,00"
20,2011,ago,TOTAIS,"4.483.314.000,00","317.884.590,23","2.432.732.878,62"
0,2011,jul,LEGISLATIVA,"97.215.976,00","9.924.966,96","59.740.249,50"
