,ano,mes,descrição da despesa,Valor Anual Previsto na LOA,valor mensal empenhado,Valor Acumulado
0,2016,dez,LEGISLATIVA,"159.550.140,00","10.151.250,97","152.700.966,66"
1,2016,dez,JUDICIARIA,"44.437.473,00","5.206.283,73","42.908.933,42"
2,2016,dez,ESSENCIAL A JUSTICA,"110.000,00","0,00","227.721,38"
3,2016,dez,ADMINISTRACAO,"724.082.745,00","49.298.418,34","559.545.397,35"
4,2016,dez,SEGURANCA PUBLICA,"193.416.089,00","18.021.263,73","206.145.904,49"
5,2016,dez,ASSISTENCIA SOCIAL,"116.810.270,00","9.304.638,47","87.481.970,79"
6,2016,dez,PREVIDENCIA SOCIAL,"652.265.207,00","85.218.519,51","646.233.687,73"
7,2016,dez,SAUDE,"2.195.496.303,00","211.996.490,45","1.858.041.359,21"
8,2016,dez,TRABALHO,"17.827.334,00","-961.773,77","7.195.464,02"
9,2016,dez,EDUCACAO,"1.436.488.813,00","130.618.930,82","1.236.260.825,97"
10,2016,dez,CULTURA,"88.398.641,00","2.534.489,30","46.434.616,84"
11,2016,dez,DIREITOS DA CIDADANIA,"58.297.353,00","3.869.717,10","44.832.037,18"
12,2016,dez,URBANISMO,"850.974.051,00","549.609,71","744.081.682,22"
13,2016,dez,HABITACAO,"132.108.148,00","419.838,63","70.237.225,81"
14,2016,dez,GESTAO AMBIENTAL,"121.621.983,00","11.920.219,62","111.695.350,00"
15,2016,dez,CIENCIA E TECNOLOGIA,"11.238.857,00","257.902,34","3.091.483,98"
16,2016,dez,AGRICULTURA,"105.000,00","0,00","0,00"
17,2016,dez,COMERCIO E SERVICOS,"206.959.021,00","-505.044,18","32.908.103,34"
18,2016,dez,COMUNICACOES,"110.000,00","0,00","0,00"
19,2016,dez,DESPORTO E LAZER,"34.981.094,00","-646.422,81","32.778.444,81"
20,2016,dez,ENCARGOS ESPECIAIS,"227.184.997,00","23.580.456,79","163.047.681,79"
21,2016,dez,RESERVA DE CONTINGENCIA,"110.000,00","0,00","0,00"
22,2016,dez,TOTAIS,"7.272.573.519,00","560.834.788,75","6.045.848.856,99"
0,2016,nov,LEGISLATIVA,"159.550.140,00","7.137.338,29","142.549.715,69"
1,2016,nov,JUDICIARIA,"44.437.473,00","3.518.407,23","37.702.649,69"
2,2016,nov,ESSENCIAL A JUSTICA,"110.000,00","64.974,27","227.721,38"
3,2016,nov,ADMINISTRACAO,"724.082.745,00","56.556.829,06","510.246.979,01"
4,2016,nov,SEGURANCA PUBLICA,"193.416.089,00","13.858.491,71","188.124.640,76"
5,2016,nov,ASSISTENCIA SOCIAL,"116.810.270,00","7.140.397,02","78.177.332,32"
6,2016,nov,PREVIDENCIA SOCIAL,"652.265.207,00","53.255.525,18","561.015.168,22"
7,2016,nov,SAUDE,"2.195.496.303,00","139.812.448,73","1.646.044.868,76"
8,2016,nov,TRABALHO,"17.827.334,00","2.453.807,70","8.157.237,79"
9,2016,nov,EDUCACAO,"1.436.488.813,00","51.988.373,30","1.105.641.895,15"
10,2016,nov,CULTURA,"88.398.641,00","1.132.432,07","43.900.127,54"
11,2016,nov,DIREITOS DA CIDADANIA,"58.297.353,00","4.143.022,28","40.962.320,08"
12,2016,nov,URBANISMO,"850.974.051,00","8.161.579,35","743.532.072,51"
13,2016,nov,HABITACAO,"132.108.148,00","50.579.246,09","69.817.387,18"
14,2016,nov,GESTAO AMBIENTAL,"121.621.983,00","8.420.980,84","99.775.130,38"
15,2016,nov,CIENCIA E TECNOLOGIA,"11.238.857,00","391.244,71","2.833.581,64"
16,2016,nov,AGRICULTURA,"105.000,00","0,00","0,00"
17,2016,nov,COMERCIO E SERVICOS,"206.959.021,00","10.239.886,39","33.413.147,52"
18,2016,nov,COMUNICACOES,"110.000,00","0,00","0,00"
19,2016,nov,DESPORTO E LAZER,"34.981.094,00","-1.347.924,03","33.424.867,62"
20,2016,nov,ENCARGOS ESPECIAIS,"227.184.997,00","24.847.478,49","139.467.225,00"
21,2016,nov,RESERVA DE CONTINGENCIA,"110.000,00","0,00","0,00"
22,2016,nov,TOTAIS,"7.272.573.519,00","442.354.538,68","5.485.014.068,24"
0,2016,out,LEGISLATIVA,"159.550.140,00","8.647.874,85","135.412.377,40"
1,2016,out,JUDICIARIA,"44.437.473,00","3.314.848,54","34.184.242,46"
2,2016,out,ESSENCIAL A JUSTICA,"110.000,00","36.685,12","162.747,11"
3,2016,out,ADMINISTRACAO,"724.082.745,00","40.776.022,46","453.690.149,95"
4,2016,out,SEGURANCA PUBLICA,"193.416.089,00","11.564.593,50","174.266.149,05"
5,2016,out,ASSISTENCIA SOCIAL,"116.810.270,00","6.174.761,94","71.036.935,30"
6,2016,out,PREVIDENCIA SOCIAL,"652.265.207,00","51.263.261,34","507.759.643,04"
7,2016,out,SAUDE,"2.195.496.303,00","152.635.727,19","1.506.232.420,03"
8,2016,out,TRABALHO,"17.827.334,00","656.773,75","5.703.430,09"
9,2016,out,EDUCACAO,"1.436.488.813,00","102.328.640,84","1.053.653.521,85"
10,2016,out,CULTURA,"88.398.641,00","5.458.465,14","42.767.695,47"
11,2016,out,DIREITOS DA CIDADANIA,"58.297.353,00","4.061.606,08","36.819.297,80"
12,2016,out,URBANISMO,"850.974.051,00","57.092.632,60","735.370.493,16"
13,2016,out,HABITACAO,"132.108.148,00","2.074.629,42","19.238.141,09"
14,2016,out,GESTAO AMBIENTAL,"121.621.983,00","8.318.870,94","91.354.149,54"
15,2016,out,CIENCIA E TECNOLOGIA,"11.238.857,00","222.769,70","2.442.336,93"
16,2016,out,AGRICULTURA,"105.000,00","0,00","0,00"
17,2016,out,COMERCIO E SERVICOS,"206.959.021,00","3.392.865,34","23.173.261,13"
18,2016,out,COMUNICACOES,"110.000,00","0,00","0,00"
19,2016,out,DESPORTO E LAZER,"34.981.094,00","-1.663.419,82","34.772.791,65"
20,2016,out,ENCARGOS ESPECIAIS,"227.184.997,00","11.803.496,87","114.619.746,51"
21,2016,out,RESERVA DE CONTINGENCIA,"110.000,00","0,00","0,00"
22,2016,out,TOTAIS,"7.272.573.519,00","468.161.105,80","5.042.659.529,56"
0,2016,set,LEGISLATIVA,"159.550.140,00","11.213.615,61","126.764.502,55"
1,2016,set,JUDICIARIA,"44.437.473,00","3.269.310,85","30.869.393,92"
2,2016,set,ESSENCIAL A JUSTICA,"110.000,00","28.277,76","126.061,99"
3,2016,set,ADMINISTRACAO,"724.082.745,00","45.304.361,46","412.914.127,49"
4,2016,set,SEGURANCA PUBLICA,"193.416.089,00","17.160.170,38","162.701.555,55"
5,2016,set,ASSISTENCIA SOCIAL,"116.810.270,00","6.621.638,95","64.862.173,36"
6,2016,set,PREVIDENCIA SOCIAL,"652.265.207,00","51.252.785,56","456.496.381,70"
7,2016,set,SAUDE,"2.195.496.303,00","167.835.532,67","1.353.596.692,84"
8,2016,set,TRABALHO,"17.827.334,00","1.466.844,89","5.046.656,34"
9,2016,set,EDUCACAO,"1.436.488.813,00","112.677.064,29","951.324.881,01"
10,2016,set,CULTURA,"88.398.641,00","2.784.523,00","37.309.230,33"
11,2016,set,DIREITOS DA CIDADANIA,"58.297.353,00","3.253.120,25","32.757.691,72"
12,2016,set,URBANISMO,"850.974.051,00","70.266.963,07","678.277.860,56"
13,2016,set,HABITACAO,"132.108.148,00","1.667.369,04","17.163.511,67"
14,2016,set,GESTAO AMBIENTAL,"121.621.983,00","9.110.992,71","83.035.278,60"
15,2016,set,CIENCIA E TECNOLOGIA,"11.238.857,00","272.533,85","2.219.567,23"
16,2016,set,AGRICULTURA,"105.000,00","0,00","0,00"
17,2016,set,COMERCIO E SERVICOS,"206.959.021,00","4.919.016,93","19.780.395,79"
18,2016,set,COMUNICACOES,"110.000,00","0,00","0,00"
19,2016,set,DESPORTO E LAZER,"34.981.094,00","4.731.332,57","36.436.211,47"
20,2016,set,ENCARGOS ESPECIAIS,"227.184.997,00","8.752.784,92","102.816.249,64"
21,2016,set,RESERVA DE CONTINGENCIA,"110.000,00","0,00","0,00"
22,2016,set,TOTAIS,"7.272.573.519,00","522.588.238,76","4.574.498.423,76"
0,2016,ago,LEGISLATIVA,"159.550.140,00","9.690.598,49","115.550.886,94"
1,2016,ago,JUDICIARIA,"44.437.473,00","3.357.959,51","27.600.083,07"
2,2016,ago,ESSENCIAL A JUSTICA,"110.000,00","27.522,85","97.784,23"
3,2016,ago,ADMINISTRACAO,"724.082.745,00","51.541.066,17","367.609.766,03"
4,2016,ago,SEGURANCA PUBLICA,"193.416.089,00","24.495.888,12","145.541.385,17"
5,2016,ago,ASSISTENCIA SOCIAL,"116.810.270,00","8.108.978,50","58.240.534,41"
6,2016,ago,PREVIDENCIA SOCIAL,"652.265.207,00","50.125.380,25","405.243.596,14"
7,2016,ago,SAUDE,"2.195.496.303,00","165.683.441,01","1.185.761.160,17"
8,2016,ago,TRABALHO,"17.827.334,00","363.711,57","3.579.811,45"
9,2016,ago,EDUCACAO,"1.436.488.813,00","106.189.561,02","838.647.816,72"
10,2016,ago,CULTURA,"88.398.641,00","3.193.982,36","34.524.707,33"
11,2016,ago,DIREITOS DA CIDADANIA,"58.297.353,00","3.147.962,01","29.504.571,47"
12,2016,ago,URBANISMO,"850.974.051,00","73.070.195,19","608.010.897,49"
13,2016,ago,HABITACAO,"132.108.148,00","1.981.852,84","15.496.142,63"
14,2016,ago,GESTAO AMBIENTAL,"121.621.983,00","7.430.449,20","73.924.285,89"
15,2016,ago,CIENCIA E TECNOLOGIA,"11.238.857,00","321.877,90","1.947.033,38"
16,2016,ago,AGRICULTURA,"105.000,00","0,00","0,00"
17,2016,ago,COMERCIO E SERVICOS,"206.959.021,00","2.403.686,96","14.861.378,86"
18,2016,ago,COMUNICACOES,"110.000,00","0,00","0,00"
19,2016,ago,DESPORTO E LAZER,"34.981.094,00","4.009.436,07","31.704.878,90"
20,2016,ago,ENCARGOS ESPECIAIS,"227.184.997,00","11.246.141,84","94.063.464,72"
21,2016,ago,RESERVA DE CONTINGENCIA,"110.000,00","0,00","0,00"
22,2016,ago,TOTAIS,"7.272.573.519,00","526.389.691,86","4.051.910.185,00"
0,2016,jul,LEGISLATIVA,"159.550.140,00","9.974.973,65","105.860.288,45"
1,2016,jul,JUDICIARIA,"44.437.473,00","3.342.899,39","24.242.123,56"
2,2016,jul,ESSENCIAL A JUSTICA,"110.000,00","14.649,74","70.261,38"
3,2016,jul,ADMINISTRACAO,"724.082.745,00","44.472.693,94","316.068.699,86"
4,2016,jul,SEGURANCA PUBLICA,"193.416.089,00","17.010.285,66","121.045.497,05"
5,2016,jul,ASSISTENCIA SOCIAL,"116.810.270,00","7.884.366,86","50.131.555,91"
6,2016,jul,PREVIDENCIA SOCIAL,"652.265.207,00","48.896.544,48","355.118.215,89"
7,2016,jul,SAUDE,"2.195.496.303,00","144.627.879,32","1.020.077.719,16"
8,2016,jul,TRABALHO,"17.827.334,00","401.418,84","3.216.099,88"
9,2016,jul,EDUCACAO,"1.436.488.813,00","102.790.108,95","732.458.255,70"
10,2016,jul,CULTURA,"88.398.641,00","2.197.204,61","31.330.724,97"
11,2016,jul,DIREITOS DA CIDADANIA,"58.297.353,00","3.262.887,61","26.356.609,46"
12,2016,jul,URBANISMO,"850.974.051,00","74.245.167,47","534.940.702,30"
13,2016,jul,HABITACAO,"132.108.148,00","2.107.702,47","13.514.289,79"
14,2016,jul,GESTAO AMBIENTAL,"121.621.983,00","7.839.440,51","66.493.836,69"
15,2016,jul,CIENCIA E TECNOLOGIA,"11.238.857,00","264.017,64","1.625.155,48"
16,2016,jul,AGRICULTURA,"105.000,00","0,00","0,00"
17,2016,jul,COMERCIO E SERVICOS,"206.959.021,00","678.796,96","12.457.691,90"
18,2016,jul,COMUNICACOES,"110.000,00","0,00","0,00"
19,2016,jul,DESPORTO E LAZER,"34.981.094,00","1.993.946,76","27.695.442,83"
20,2016,jul,ENCARGOS ESPECIAIS,"227.184.997,00","6.451.013,28","82.817.322,88"
21,2016,jul,RESERVA DE CONTINGENCIA,"110.000,00","0,00","0,00"
22,2016,jul,TOTAIS,"7.272.573.519,00","478.455.998,14","3.525.520.493,14"
0,2016,jun,LEGISLATIVA,"159.550.140,00","16.160.073,95","95.885.314,80"
